Tipo de cambio - TC Sistema bancario SBS (S/ por US$) - Venta,dia,mes,año,fecha,dia de semana,Inflación PERU,Precio Cobre,Precio Oro,Precio Zinc,PIB,Reservas internacionales,Intervenciones del BCRP,Inflación EEUU
2.989,1,Ene,2015,01/01/2015,4,3.07,265.58,"1,249.45",95.96,442.23,62086.34977,1,0.25%
2.989,2,Ene,2015,02/01/2015,5,3.07,265.58,"1,249.45",95.96,442.23,62086.34977,1,0.25%
2.992,5,Ene,2015,05/01/2015,1,3.07,265.58,"1,249.45",95.96,442.23,62086.34977,1,0.25%
2.983,6,Ene,2015,06/01/2015,2,3.07,265.58,"1,249.45",95.96,442.23,62416.87961,1,0.25%
2.987,7,Ene,2015,07/01/2015,3,3.07,265.58,"1,249.45",95.96,442.23,62367.97035,1,0.25%
2.989,8,Ene,2015,08/01/2015,4,3.07,265.58,"1,249.45",95.96,442.23,62360.93635,1,0.25%
2.986,9,Ene,2015,09/01/2015,5,3.07,265.58,"1,249.45",95.96,442.23,62676.98903,1,0.25%
2.989,12,Ene,2015,12/01/2015,1,3.07,265.58,"1,249.45",95.96,442.23,62964.54467,1,0.25%
2.985,13,Ene,2015,13/01/2015,2,3.07,265.58,"1,249.45",95.96,442.23,62920.09402,1,0.25%
2.994,14,Ene,2015,14/01/2015,3,3.07,265.58,"1,249.45",95.96,442.23,62919.57642,1,0.25%
2.997,15,Ene,2015,15/01/2015,4,3.07,265.58,"1,249.45",95.96,442.23,63237.84323,1,0.25%
3.013,16,Ene,2015,16/01/2015,5,3.07,265.58,"1,249.45",95.96,442.23,63109.72317,1,0.25%
3.012,19,Ene,2015,19/01/2015,1,3.07,265.58,"1,249.45",95.96,442.23,63100.91599,1,0.25%
3.009,20,Ene,2015,20/01/2015,2,3.07,265.58,"1,249.45",95.96,442.23,62749.72718,1,0.25%
3.011,21,Ene,2015,21/01/2015,3,3.07,265.58,"1,249.45",95.96,442.23,62747.24837,1,0.25%
3.004,22,Ene,2015,22/01/2015,4,3.07,265.58,"1,249.45",95.96,442.23,62606.2004,1,0.25%
3.012,23,Ene,2015,23/01/2015,5,3.07,265.58,"1,249.45",95.96,442.23,62601.60874,1,0.25%
3.02,26,Ene,2015,26/01/2015,1,3.07,265.58,"1,249.45",95.96,442.23,62556.67896,1,0.25%
3.024,27,Ene,2015,27/01/2015,2,3.07,265.58,"1,249.45",95.96,442.23,62631.32994,1,0.25%
3.029,28,Ene,2015,28/01/2015,3,3.07,265.58,"1,249.45",95.96,442.23,62563.86991,1,0.25%
3.045,29,Ene,2015,29/01/2015,4,3.07,265.58,"1,249.45",95.96,442.23,62660.07879,1,0.25%
3.058,30,Ene,2015,30/01/2015,5,3.07,265.58,"1,249.45",95.96,442.23,62618.83686,1,0.25%
3.06,2,Feb,2015,02/02/2015,1,2.77,259.88,"1,227.19",95.15,439.84,62504.31297,0,0.25%
3.059,3,Feb,2015,03/02/2015,2,2.77,259.88,"1,227.19",95.15,439.84,62408.30888,0,0.25%
3.062,4,Feb,2015,04/02/2015,3,2.77,259.88,"1,227.19",95.15,439.84,62453.099,0,0.25%
3.063,5,Feb,2015,05/02/2015,4,2.77,259.88,"1,227.19",95.15,439.84,62251.85275,0,0.25%
3.068,6,Feb,2015,06/02/2015,5,2.77,259.88,"1,227.19",95.15,439.84,61984.50054,0,0.25%
